Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
642470127,1801 CLINT MOORE ROAD,1001 CLINT MOORE ROAD,1001 CLINT MOORE,Grouped,True
642470126,1001 CLINT MOORE ROAD CONDO,1001 CLINT MOORE ROAD,1001 CLINT MOORE,Grouped,True
643472043,101 NORTH FEDERAL HIGHWAY,101 NORTH FEDERAL HIGHWAY,101 NORTH FEDERAL,Grouped,True
642472338,1800 NORTH MILITARY TRAIL,1800 NORTH MILITARY TRAIL,1800 NORTH MILITARY,Grouped,True
643472963,200 EAST PALMETTO PARK CONDO,200 EAST PALMETTO PARK,200 EAST PALMETTO,Grouped,True
643472957,200 EAST PLAT,200 EAST PLAT,200 EAST PLAT,Grouped,False
643471815,2151 BOCA RATON BOULEVARD CONDOMINIUM,2151 BOCA RATON BOULEVARD,2151 BOCA RATON,Grouped,True
643472821,247 SOUTH OCEAN CONDO,247 SOUTH OCEAN CONDO,247 SOUTH OCEAN,Grouped,True
643471740,2500 BOCA CONDO,2500 BOCA CONDO,2500 BOCA CONDO,Grouped,False
643471741,3101 N W 2ND AVENUE PLAT,3101 N W 2ND,3101 N W,Grouped,True
643472966,327 ROYAL PALM CONDO,327 ROYAL PALM CONDO,327 ROYAL PALM,Grouped,True
642472336,5295 CENTER REALTY CONDOMINIUM,5295 CENTER REALTY CONDOMINIUM,5295 CENTER REALTY,Grouped,True
643470843,568 CONDO,568 CONDO,568 CONDO,Grouped,False
643472805,750 OCEAN CONDO,750 OCEAN CONDO,750 OCEAN CONDO,Grouped,False
643463125,7800 CONGRESS AVENUE PL,7800 CONGRESS AVENUE PL,7800 CONGRESS AVENUE,Grouped,True
643472942,ADDISON ESTATES,ADDISON ESTATES,ADDISON ESTATES,Grouped,False
643473223,ADDISON ON THE OCEAN IN BOCA RATON COND DECL FILED 11-8-85  IN OR4704P420,ADDISON ON THE OCEAN,ADDISON ON THE,Grouped,True
643471817,ADDISON PARK,ADDISON PARK,ADDISON PARK,Grouped,False
643470612,ADELE WAREHOUSE COND DECL FILED 4-17-86 IN OR4855 P778,ADELE WAREHOUSE COND DECL,ADELE WAREHOUSE COND,Grouped,True
643470902,ADMIRALS WALK TOWER A COND,ADMIRALS WALK TOWER A,ADMIRALS WALK TOWER,Grouped,True
643470842,ADVENT LUTHERAN CHURCH,ADVENT LUTHERAN CHURCH,ADVENT LUTHERAN CHURCH,Grouped,False
643471612,AEGEAN COND DECL 12-6-84,AEGEAN COND DECL 12684,AEGEAN COND 12684,Grouped,True
643471934,AKER KASTEN SURGICAL EYE INSTITUTE,AKER KASTEN SURGICAL EYE,AKER KASTEN SURGICAL,Grouped,True
642473604,ALAMANDA PARK,ALAMANDA PARK,ALAMANDA PARK,Grouped,False
642470124,ALBANESE COMMERCE CENTER CONDOMINIUM,ALBANESE COMMERCE CENTER CONDOMINIUM,ALBANESE COMMERCE CENTER,Grouped,True
643463126,ALBERT,ALBERT,ALBERT,Grouped,False
643472970,ALINA 210 BOCA RATON CONDO,ALINA 210 BOCA RATON,ALINA 210 BOCA,Grouped,True
643472971,ALINA 220 BOCA RATON CONDO,ALINA 210 BOCA RATON,ALINA 210 BOCA,Grouped,True
643472967,ALINA BOCA RATON CONDO,ALINA BOCA RATON CONDO,ALINA BOCA RATON,Grouped,True
643470619,AMERICAN TECTONICS PL 2,AMERICAN TECTONICS PL NO,AMERICAN TECTONICS NO,Grouped,True
643470607,AMERICAN TECTONICS PL NO 1 IN,AMERICAN TECTONICS PL NO,AMERICAN TECTONICS NO,Grouped,True
642472306,ARVIDA BUSNESS PLAZA,ARVIDA BUSINESS PLAZA,ARVIDA BUSINESS PLAZA,Grouped,True
