Master PCN,Name,Book,Page,Year,Final Subdivision,Unified Subdivision
5043432328,177 179 MAIN STREET CONDO,24957,632,2012,177,177
5043441402,2100 COND AT SLOANS CURVE,3411,687,1981,2100 CONDOMINIUMS,2100 CONDOMINIUMS
5043431544,251 OLEANDER CONDO,26823,1119,2015,251 OLEANDER CONDOMINIUMS,251 OLEANDER CONDOMINIUMS
5043442320,2560 SOUTH OCEAN BOULEVARD CONDOMINIUM,20899,1,2007,2560 SOUTH OCEAN BOULEVARD CONDOMINIUMS,2560 SOUTH OCEAN BOULEVARD CONDOMINIUMS
5043432788,259 WORTH AVENUE CONDO,32033,541,2021,259 WORTH AVENUE CONDOMINIUMS,259 WORTH AVENUE CONDOMINIUMS
5043442311,2774 SOUTH OCEAN INC CO-OP,997,40,1987,2774 SOUTH OCEAN CO OP,2774 SOUTH OCEAN CO OP
5043431407,ADAMS ADD IN,7,68,1971,ADAMS,ADAMS
5043431408,ADAMS ADD REPL IN,16,9,1971,ADAMS,ADAMS
5043431502,ADAMS ADD REPL OF REPL OF LOTS 56 & 57 IN,26,3,1972,ADAMS ADD REPL OF REPL OF LOTS,ADAMS
5043431501,ADAMS CIRCLE REPL IN,24,229,1971,ADAMS CIRCLE,ADAMS CIRCLE
5043432752,ADAMS HOUSE,41,173,1982,ADAMS HOUSE,ADAMS HOUSE
5043431007,ALLARD SUB P B IN,23,186,1971,ALLARD PALM BEACH,ALLARD PALM BEACH
5043430308,ALTO LIDO,11,36,1971,ALTO LIDO,ALTO LIDO
5043442313,AMBASSADOR HOTEL CO-OP APTS INC (DEACTIVATED),997,20,1987,AMBASSADOR HOTEL CO OP APTS,AMBASSADOR HOTEL
5043442312,AMBASSADOR II CORP 2780 S OCEAN BLVD PALM BEACH FL,997,30,1987,AMBASSADOR II,AMBASSADOR II
5043431524,ATLANTIC PALMS COND,2835,1832,1979,ATLANTIC PALMS CONDOMINIUMS,ATLANTIC PALMS CONDOMINIUMS
5043443513,ATRIUMS OF PALM BEACH COND DECL FILED 2-22-79 OR3012P994  AMEND 3053P289,3012,994,1980,ATRIUMS OF PALM BEACH CONDOMINIUMS,ATRIUMS OF PALM BEACH CONDOMINIUMS
5043432743,AUSTRALIAN OF PALM BEACH COND,2335,1800,1975,AUSTRALIAN OF PALM BEACH CONDOMINIUMS,AUSTRALIAN OF PALM BEACH CONDOMINIUMS
5043431002,BAHAMA ADD IN,23,178,1971,BAHAMA,BAHAMA
5043442308,BEACH POINT COND DECL FILED 5-31-79,3069,708,1980,BEACH POINT CONDOMINIUMS,BEACH POINT CONDOMINIUMS
5043442611,BELLARIA CONDOMINIUM,20610,248,2007,BELLARIA CONDOMINIUMS,BELLARIA CONDOMINIUMS
5043430306,BELLO LIDO,11,37,1971,BELLO LIDO,BELLO LIDO
5043430307,BELLO LIDO RESUB,24,171,1971,BELLO LIDO,BELLO LIDO
5043432327,BERMUDA HOUSE CONDO,11210,367,2000,BERMUDA HOUSE CONDOMINIUMS,BERMUDA HOUSE CONDOMINIUMS
5043431011,BERMUDA LANE IN,23,165,1971,BERMUDA LANE,BERMUDA LANE
5043431428,BIENESTAR COND DECL FILED 4-28-86 IN OR4859P1368,4859,1368,1988,BIENESTAR CONDOMINIUMS,BIENESTAR CONDOMINIUMS
5043433505,BINGHAM COPP TR IN,18,6,1971,BINGHAM COPP TR,BINGHAM COPP TR
5043440210,BLOSSOM ESTATE REPL,54,127,1987,BLOSSOM ESTATE REPL,BLOSSOM ESTATE REPL
5043440212,BLOSSOM ESTATE REPLAT NO 2,133,33,2023,BLOSSOM ESTATE REPLAT,BLOSSOM ESTATE REPLAT
5043423402,BOCA RATONE CO INLET SUB,12,15,1971,BOCA RATONE CO INLET,BOCA RATONE CO INLET
5043423403,BOCA RATONE CO INLET SUB REV LAKE FRONT ADD,18,5,1971,BOCA RATONE CO INLET LAKE FRONT,BOCA RATONE CO INLET
5043433504,BOULEVARD ESTATES IN,21,96,1971,BOULEVARD ESTATES,BOULEVARD ESTATES
5043431006,BRAMS ADD IN,26,190,1971,BRAMS,BRAMS
5043432778,BRAZILIAN COURT HOTEL AND CONDOMINIUM,17278,1584,2005,BRAZILIAN COURT HOTEL AND CONDOMINIUMS,BRAZILIAN COURT HOTEL AND CONDOMINIUMS
5043432311,BRAZILIAN OF PALM BEACH CONDO,1815,1144,1973,BRAZILIAN OF PALM BEACH CONDOMINIUMS,BRAZILIAN OF PALM BEACH CONDOMINIUMS
5043432224,BREAKERS ROW PL NO 1 REPL,46,188,1984,BREAKERS ROW,BREAKERS ROW
5043431508,BUNGALOW PARK ADD IN,7,26,1971,BUNGALOW PARK,BUNGALOW PARK
5043442605,CARLTON PLACE COND DECL FILED  1-26-82,3664,635,1983,CARLTON PLACE CONDOMINIUMS,CARLTON PLACE CONDOMINIUMS
5043442304,CARLYLE HOUSE COND,2171,1,1974,CARLYLE HOUSE CONDOMINIUMS,CARLYLE HOUSE CONDOMINIUMS
5043432616,CASA 214 COND DECL FILED 12-2-82,3836,422,1983,CASA,CASA
5043432770,CASA ALEGRE COND,4960,1723,1989,CASA ALEGRE CONDOMINIUMS,CASA ALEGRE CONDOMINIUMS
5043440211,CASA APAVA,62,191,1990,CASA APAVA,CASA APAVA
5043431414,CASA BENDITA IN,27,22,1971,CASA BENDITA,CASA BENDITA
5043432309,CASA DEL LAGO COND PT OF LT 2 ALL LT 3 & PT OF LT 56 BLK 4 ROYAL PK ADD,1648,1201,1973,CASA DEL LAGO CONDOMINIUMS,CASA DEL LAGO CONDOMINIUMS
5043432775,CASA DEL LAGO CONDO,1648,1201,1969,CASA DEL LAGO CONDOMINIUMS,CASA DEL LAGO CONDOMINIUMS
5043432753,CASA ENCANTADA COND DECL FILED 5-12-82,3723,744,1983,CASA ENCANTADA CONDOMINIUMS,CASA ENCANTADA CONDOMINIUMS
5043432772,CASA VILLAGGIO COND FILED 2-25-93 IN OR 7602P425,7602,425,1995,CASA VILLAGGIO CONDOMINIUMS,CASA VILLAGGIO CONDOMINIUMS
5043432736,CASAS DE CARLOS CONDOMINIUM LTS 47 TO 56 INC BLK 3 ROYAL PARK ADD TO PALM BEACH,1877,1524,1973,CASAS DE CARLOS CONDOMINIUMS,CASAS DE CARLOS CONDOMINIUMS
5043430301,CAYUGA ESTATES PL 1,15,7,1971,CAYUGA ESTATES,CAYUGA ESTATES
5043430324,CAYUGA ESTATES PL 2,15,10,1989,CAYUGA ESTATES,CAYUGA ESTATES
5043432607,CHALET BY THE OCEAN COND,2210,407,1974,CHALET BY THE OCEAN CONDOMINIUMS,CHALET BY THE OCEAN CONDOMINIUMS
5043441525,"CHATEAU RAMBOUILLET IBIS ISLE CONDOMINIUM PAR OF LAND LYG IN LOTS 5, 6 &",1759,786,1973,CHATEAU RAMBOUILLET IBIS ISLE CONDOMINIUMS,CHATEAU CHANTILLY IBIS ISLE CONDOMINIUMS
5043441526,"CHATEAU CHANTILLY IBIS ISLE CONDOMINIUM PAR OF LAND LYG IN LOTS 2, 3 &",1779,1588,1973,CHATEAU CHANTILLY IBIS ISLE CONDOMINIUMS,CHATEAU CHANTILLY IBIS ISLE CONDOMINIUMS
5043441520,"CHATEAU CHAUMONT IBIS ISLE CONDOMINIUM PT OF LTS 12, 13 & 14 IBIS",1687,125,1973,CHATEAU CHAUMONT IBIS ISLE CONDOMINIUMS,CHATEAU CHAUMONT IBIS ISLE CONDOMINIUMS
5043441523,"CHATEAU CHEVERNY IBIS ISLE CONDOMINIUM PAR OF LAND IN LTS 8, 9, 10",1703,86,1973,CHATEAU CHEVERNY IBIS ISLE CONDOMINIUMS,CHATEAU CHEVERNY IBIS ISLE CONDOMINIUMS
5043431420,CHATEAUX ENCHANTE,29,158,1973,CHATEAUX ENCHANTE,CHATEAUX ENCHANTE
5043431009,CHERRY LANE IN,23,75,1971,CHERRY LANE,CHERRY LANE
5043432780,CHILEAN CONDOMINIUM OF PALM BEACH,21043,715,2007,CHILEAN CONDOMINIUMS,CHILEAN CONDOMINIUMS
