Master PCN,Name,Book,Page,Year,Final Subdivision,Unified Subdivision
7341440908,13817 BOTTLEBRUSH CONDOMINIUM,18909,1722,2006,13817 BOTTLEBRUSH CONDOMINIUMS,13817 BOTTLEBRUSH CONDOMINIUMS
7341441618,13940 FOLKESTONE CONDOMINIUM,21086,817,2007,13940 FOLKESTONE CONDOMINIUMS,13940 FOLKESTONE CONDOMINIUMS
7341441617,ARISSA PLACE CONDOMINIUM,18653,1803,2006,ARISSA PLACE CONDOMINIUMS,ARISSA PLACE CONDOMINIUMS
7341441223,ATP LAND CONDO,34513,1536,2024,ATP LAND CONDOMINIUMS,ATP LAND CONDOMINIUMS
7341441602,BAGATTELLE COND DECL FILED 4-12-79 OR3034P1085 AMEND OR3100P1060,3034,1085,1996,BAGATTELLE CONDOMINIUMS,BAGATTELLE CONDOMINIUMS
7341440415,BARRINGTON WOODS OF WELLINGTON,53,50,1996,BARRINGTON WOODS OF WELLINGTON,BARRINGTON WOODS OF WELLINGTON
7341442021,BAXTER HILL GARDENS,140,43,2026,BAXTER HILL GARDENS,BAXTER HILL GARDENS
7341441608,BEDFORD MEWS AT WELLINGTON,42,25,1996,BEDFORD MEWS AT WELLINGTON,BEDFORD MEWS AT WELLINGTON
7341441437,BENT CYPRESS,59,13,1996,BENT CYPRESS,BENT CYPRESS
7341433107,BINKS COMMERCIAL CENTRE,91,21,2002,BINKS COMMERCIAL CENTRE,BINKS COMMERCIAL CENTRE
7341433108,"BINKS COMM CTR REPL OF LTS 1, 2",113,99,2011,BINKS COMM CTR REPL OF LTS,BINKS COMMERCIAL CENTRE
7341433111,BINKS COMMERCIAL CENTRE REPL OF LT 4 & LT 1A,127,12,2019,BINKS COMMERCIAL CENTRE REPL OF LT,BINKS COMMERCIAL CENTRE
7341433101,BINKS FOREST OF THE LANDINGS AT WELLINGTON PL 3,73,101,1996,BINKS FOREST OF THE LANDINGS AT WELLINGTON,BINKS FOREST OF THE LANDINGS AT WELLINGTON
7341433102,BINKS FOREST OF THE LANDINGS AT WELLINGTON PL 4,73,132,1996,BINKS FOREST OF THE LANDINGS AT WELLINGTON,BINKS FOREST OF THE LANDINGS AT WELLINGTON
7341433103,BINKS FOREST OF THE LANDINGS AT WELLINGTON PL 3 REPL,75,185,1996,BINKS FOREST OF THE LANDINGS AT WELLINGTON,BINKS FOREST OF THE LANDINGS AT WELLINGTON
7341433104,BINKS FOREST OF THE LANDINGS AT WELLINGTON PUD PL 3 REPL 2,79,75,1997,BINKS FOREST OF THE LANDINGS AT WELLINGTON PUD,BINKS FOREST OF THE LANDINGS AT WELLINGTON
7341440602,BINKS FOREST OF THE LANDINGS AT WELLINGTON,67,56,1996,BINKS FOREST OF THE LANDINGS AT WELLINGTON,BINKS FOREST OF THE LANDINGS AT WELLINGTON
7341440603,BINKS FOREST OF THE LANDINGS AT WELLINGTON PUD PL 2,70,162,1996,BINKS FOREST OF THE LANDINGS AT WELLINGTON PUD,BINKS FOREST OF THE LANDINGS AT WELLINGTON
7341433106,BINKS FOREST SCHO0L AT WELLINGTON,88,37,2001,BINKS FOREST SCHO0L AT WELLINGTON,BINKS FOREST SCHO0L AT WELLINGTON
7341440604,BINKS POINTE,123,158,2018,BINKS POINTE,BINKS POINTE
7341441116,BIRKDALE CIVIC SITE,71,112,1996,BIRKDALE CIVIC SITE,BIRKDALE CIVIC SITE
7341441118,BIRKDALE CIVIC SITE REPL NO 1,100,130,2004,BIRKDALE CIVIC SITE REPL,BIRKDALE CIVIC SITE
7341440102,BLACK DIAMOND PH 1,94,83,2003,BLACK DIAMOND PH,BLACK DIAMOND
7341440104,BLACK DIAMOND PH 2,98,150,2004,BLACK DIAMOND PH,BLACK DIAMOND
7341441513,BLACK WATCH FARM PL 2,76,174,1996,BLACK WATCH FARM,BLACK WATCH FARM
7341441514,BLACK WATCH FARM PL 1,76,178,1996,BLACK WATCH FARM,BLACK WATCH FARM
7341441526,BLUE CYPRESS SINGLE FAMILY HOMES OF PB POLO & CNTY CLUB WELLINGTON PUD,138,109,2025,BLUE CYPRESS SINGLE FAMILY HOMES OF PALM BEACH POLO CNTY CLUB WELLINGTON PUD,BLUE CYPRESS ESTATES
7341441527,BLUE CYPRESS ESTATES,138,139,2025,BLUE CYPRESS ESTATES,BLUE CYPRESS ESTATES
7341441520,BLUE CYPRESS OF PALM BEACH POLO & COUNTRY CLUB WELLINGTON PUD,90,3,2002,BLUE CYPRESS OF PALM BEACH POLO COUNTRY CLUB WELLINGTON PUD,BLUE CYPRES
7341441521,CYPRESS ISLAND OF PALM BEACH POLO & COUNTRY CLUB WELLINGTON PUD,90,9,2002,CYPRESS ISLAND OF PALM BEACH POLO COUNTRY CLUB WELLINGTON PUD,BLUE CYPRES
7341441525,BLUE CYPRESS REPL 2 PALM BEACH POLO & COUNTRY CLUB,128,1,2020,BLUE CYPRESS REPL,BLUE CYPRES
7341441523,BLUE CYPRESS REPL AT PALM BEACH POLO & COUNTRY CLUB,116,163,2014,BLUE CYPRESS REPL AT PALM BEACH POLO COUNTRY CLUB,BLUE CYPRES
7341440915,BOTTLEBRUSH CONDOS OF WELLINGTON (DEACT),22179,488,2008,BOTTLEBRUSH CONDOS OF WELLINGTON,BOTTLEBRUSH CONDOS OF WELLINGTON
7341441510,BRIDLE PATH OF P B POLO & COUNTRY CLUB WELLINGTON,64,88,1996,BRIDLE PATH OF PALM BEACH POLO COUNTRY CLUB WELLINGTON,BRIDLE PATH
7341441512,BRIDLE PATH REPL LTS 7 & 8,74,158,1996,BRIDLE PATH REPL LTS,BRIDLE PATH
7341441104,BRIER PATCH,33,62,1996,BRIER PATCH,BRIER PATCH
7341441422,BROOKSIDE PL 1,50,175,1996,BROOKSIDE,BROOKSIDE
7341441424,BROOKSIDE PL 2,51,95,1996,BROOKSIDE,BROOKSIDE
7341441429,BROOKSIDE PL 3,54,75,1996,BROOKSIDE,BROOKSIDE
7341441435,BROOKSIDE PL 4 OF PB POLO & CNTRY CLUB WELLINGTON,58,45,1996,BROOKSIDE,BROOKSIDE
7342440705,BUENA VIDA,97,114,2004,BUENA VIDA,BUENA VIDA
