"Listing Number","Cumulative DOM","Days On Market","Short Address","Baths - Full","Baths - Half","Cancel Date","Listing Date","List Price","Front Exp","Expiration Date","Parcel ID","Sold Date","Sold Price","SqFt - Living","SqFt - Total","Under Contract Date","Withdrawn Date","Year Built","Year Roof Installed","SqFt - Guest House","Construction: CBS","Storm Protection: Accordion Shutters","Storm Protection: Impact Glass","Storm Protection: Panel Shutters","Public Remarks","Area","Temp Off Market Date","Garage Spaces","Furnished: Furnished","Subdivision","Terms of Sale","Zip Code","Baths - Total","City","Guest House","High School","Homeowners Assoc","Lot SqFt","Private Pool","Legal Desc","Spa","State/Province","Street #","Tax Year","Taxes","Total Bedrooms","Total Floors/Stories","Total Units in Bldg","Ttl Units in Complex","Original List Price","Unit Floor #","Unit #","Type","Geo Lat","Geo Lon","HOA/POA/COA (Monthly)","Special Assessment","Waterfront","Status","Status Change Date","Subdiv. Amenities: Tennis","Subdiv. Amenities: Pool","Subdiv. Amenities: Manager on Site","Subdiv. Amenities: Fitness Center","Subdiv. Amenities: Elevator","Subdiv. Amenities: Golf Course","Subdiv. Amenities: Clubhouse","Security: Gate - Manned","Security: Gate - Unmanned","Security: Doorman","Security: Lobby","Parking: Garage - Building","Parking: Garage - Detached","Parking: Open","Parking: Covered","Lot Description: < 1/4 Acre","Lot Description: 1 to < 2 Acres","Lot Description: 1/2 to < 1 Acre","Lot Description: 1/4 to 1/2 Acre","Gated Community","Development Name","Listing Agent","Listing Office","Buyer Agent","Buyer Office","Fallthrough Date"
"RX-11118193","108","108","3030 S Ocean Boulevard 328","1","0","","2025-08-24","349000.00","S","","50434426100003280","","","824.00","950.00","","","1961","","","Yes","Complete","","","OCEAN & INTERCOASTAL VIEWS! 2BR Prime Palm Beach location! The Palmbeacher offers exclusive private beach access and a lovely front lawn with pool and barbecue. Gated community with assigned parking and additional parking, kayak storage, car wash across the street. Boutique building, 51 units in this 6-story gem. Close to the Lake Worth Pier with Benny's on the Beach and other restaurants & shops. Perfect as an investment or dream home. Beautiful bicycle/walking trail in front of building. Extra storage space & interior bicycle storage in building. Don't miss this exceptional opportunity?it won't last long! Must own 2-years prior to leasing, 1 rental per year, 6-month minimum. HOPA 55+ community.","5004","","0.00","","PALMBEACHER APTS INC","","33480","1.00","Palm Beach","","","M","56522.00","No","PALMBEACHER APTS INC APT 328","","FL","3030","2025","4022.00","2","6.00","51","","379000.00","3.00","328","CD","26.610652","-80.037439","926.00","No","Yes","A","2025-08-24","","","Yes","","Yes","","","","Yes","","Yes","","","","","","Yes","","","Y","THE PALMBEACHER","Elizabeth Hoadley","Purely Palm Beach Real Estate LLC (276624001)","","",""
"AX-11864648","108","108","2295 S Ocean Boulevard 505","1","1","","2025-08-24","670000.00","","","50434414040005050","","","1038.00","1038.00","","","1969","","","","","","","Bring Offers! This impeccably maintained 1 bedroom, 1.5 bathroom co-op offers spectacular ocean views that will take your breath away! Situated in the prestigious Harbour House, one of the area's most sought-after concierge buildings that seamlessly blends comfort, elegance, and lifestyle. Unit is truly immaculate, featuring thoughtfully designed with high-end finishes and a spacious layout, it's perfect for relaxing or entertaining. Resort-style amenities: oceanfront pool, tennis courts, fitness center, garage parking, charging stations, 24-hour doorman & security. Financially sound, the association boasts strong reserves, no pending assessments, and a dedication to excellence that makes ownership here a rare opportunity.","5004","","","","Harbour House","","33480","1.10","Palm Beach","","","M","","No","TWENTY TWO NINETY FIVE SOUTH OCEAN BLVD CORP APT 505","","FL","2295","2024","6209.00","1","9.00","192","192.00","699500.00","5.00","505","CD","26.635913","-80.03795","1356.00","","Yes","A","2025-08-24","","","","Yes","Yes","","Yes","","","Yes","Yes","","","","Yes","","","","","","Harbour House","Patty Accorto","Keller Williams Legacy (SEFKWLG01)","","",""
"RX-11146357","1","1","255 Cherry Lane","4","1","","2025-12-09","9950000.00","S","","50434310320000041","","","4168.00","5004.00","","","2001","","","Yes","Complete","","","An elegant Bermuda-style home on a coveted North End street, this gated 4BR/4.5BA residence sits on an oversized 15,000+ sq-ft deep lot offers exceptional privacy. Soaring ceilings and spacious, light-filled rooms create an airy, refined ambiance. Lush gardens and an elegant pool provide a serene retreat, just moments from the Lake Trail and five minutes to town?an ideal setting for timeless Island living. Professional photos coming soon.","5001","","2.00","","GRAHAM ECKES ACADEMY","","33480","4.10","Palm Beach","","","N","15071.00","Yes","GRAHAM ECKES ACADEMY W 104 FT OF LT 4~ WLY 41.09 FT OF PAR F & PAR G","","FL","255","2024","35393.00","4","1.00","","","9950000.00","","","SF","26.738792","-80.039012","","No","No","A","2025-12-09","","","","","","","","","","","","","","","","","","","Yes","N","","Adam Zimmerman","Douglas Elliman (pb802465)","","",""
"RX-11137482","37","37","206 Phipps Plaza","8","3","","2025-11-03","34000000.00","S","","50434322100000012","","","9427.00","11786.00","","","1926","","","Yes","","Complete","","Ideally located in historic Phipps Plaza, this architectural jewel?originally conceived by Marion Sims Wyeth and masterfully reimagined by John Volk?has been artfully transformed from its foundation to its roof. The result is a seamless blend of classic Palm Beach character and modern sophistication. Featuring five generous en-suite bedrooms, refined formal and relaxed family living areas, and beautifully landscaped pool gardens, this residence perfectly balances heritage and contemporary comfort. Additional highlights include a three-car garage and nine dedicated street parking spaces?an exceptional rarity in the heart of town. Staging and furnishings by Vesta Home; all furniture available for purchase.","5002","","3.00","","PHIPPS PLAZA","","33480","8.30","Palm Beach","","","N","12240.00","Yes","See PAPA Legal Description","","FL","206","2024","122028.00","6","2.00","","","34000000.00","","","SF","26.706863","-80.037283","","No","No","A","2025-11-03","","","","","","","","","","","","","","","","","","","Yes","N","","James McCann","Premier Estate Properties, Inc (276544310)","","",""
"RX-11092103","205","205","2780 S Ocean Boulevard 707","1","0","","2025-05-19","515000.00","N","","50434423120007070","","","841.00","841.00","","","1968","","","Yes","Complete","Complete","","Stunning high-floor oceanfront residence with sweeping views of the Atlantic & Intracoastal. This impeccably renovated 1-bdrm, 1-bath condo features impact glass, sleek neutral tile floors, a modern kitchen with granite countertops & stainless steel appliances, and custom walk-in closet. Bathed in natural light from its desirable southern exposure, unit boasts a private balcony w/sunrise & sunset ocean views. Located on prestigious S Ocean Boulevard, just steps from the Four Seasons, Palm Beach Par 3 Golf Course, & minutes to Worth Avenue. Move-in ready & offered partly furnished for immediate enjoyment. Milestone inspections have been completed, with a few ongoing building repairs & updates underway, adding to long-term peace of mind. Best priced 1/1 Oceanfront Condo in SOUTH Palm Beach!","5004","","0.00","","Ambassador II","","33480","1.00","Palm Beach","","","M","","No","AMBASSADOR II CORP APT 707","","FL","2780","2024","7395.58","1","8.00","96","96.00","525000.00","7.00","707","CD","26.619696","-80.037646","1804.00","No","Yes","A","2025-05-19","","Yes","Yes","Yes","Yes","","","","","Yes","Yes","","","","","","","","","N","Ambassador II","Ken Benedict","Waterfront Properties & Club C (303140)","","",""
"RX-11097319","575","187","143 E Inlet Drive","7","1","","2025-06-06","34900000.00","E","","50434234010000280","","","4675.00","5930.00","","","1960","","","Yes","","Complete","","The ''ULTIMATE PALM BEACH'' beach cabana?the final direct oceanfront property on the island of Palm Beach offered under $35,000,000. Set on an expansive 54,000± SF lot with a remarkable 100 feet of pristine beach frontage, this rare estate delivers sweeping, unobstructed ocean views and an unparalleled sense of privacy. The 6-bedroom, 7.1-bath residence enjoys a premier position overlooking some of Palm Beach's best surf breaks, with exceptional snorkeling just steps away near the jetty. Situated in front of one of Florida's top surf destinations. The setting is truly unmatched, offering the quintessential Palm Beach seaside lifestyle?serene, sophisticated, and rarely available. An extraordinary opportunity, this property invites you to create a world-class","5001","","1.00","","SEA ISLE EST","","33480","7.10","Palm Beach","","","N","54014.00","Yes","SEA ISLE ESTATES LT 28 & 34-42-43~ PT OF GOV LT 1 LYG E OF & ADJ TO LT 28 OF PB25P89","","FL","143","2024","304926.00","6","2.00","","","36500000.00","","","SF","26.770772","-80.036685","","No","No","A","2025-06-06","","","","","","","","","","","","","","","","","Yes","","","N","","Liza Pulitzer","Brown Harris Stevens of PB (273005225)","","",""
"RX-11128356","70","70","9 Via Parigi","8","1","","2025-10-01","37900000.00","N","","50434323050140031","","","8596.00","9941.00","","","1924","","","","","","","Once in a lifetime opportunity to own a spectacular piece of iconic Palm Beach history designed by Addison Mizner. Six floors of mixed-use space includes a two-floor Penthouse, three additional separate apartments, retail space, and two car garage. Fabulous location in a picturesque Via of Worth Avenue. The stunning Penthouse includes three bedrooms, three baths, fireplaces, two balconies, den, and gorgeous golf course, ocean, and Intracoastal views. The first apartment includes three bedrooms and two full baths. The second apartment includes one bedroom, two full baths, den, and Juliette balcony. The third apartment includes one bedroom, one bath, oversized living and dining room, and balcony. The retail space also includes powder room, utility room, storage, and formal entry.","5002","","2.00","","ROYAL PARK ADD TO P B IN","","33480","8.10","Palm Beach","","","N","","No","Lengthy - see public record","","FL","9","2024","14640.20","8","6.00","","","37900000.00","","","SF","26.701284","-80.040815","","No","No","A","2025-10-01","","","","","","","","","","","","","","","","","","","","N","","Christian Angle","Christian Angle Real Estate (800649)","","",""
"RX-11052206","334","334","3300 S Ocean Boulevard 305n","3","0","","2025-01-10","4250000.00","E","","50434426040013050","","","2470.00","3100.00","","","1981","","","Yes","","","","Palm Beach Oceanfront Masterpiece for Sale!  Experience the epitome of luxury living in this stunning, newly renovated oceanfront apartment, completed in 2025. Designed by a top interior decorator for their own family, this beach home is a true masterpiece. Every aspect of this apartment has been meticulously curated, from the wide plank European White Oak floors in a chevron pattern to the gourmet custom-made kitchen, featuring Calacata gold marble island, Le Cornue Stove, Shawn farmer sink, and Waterworks fixtures. The kitchen also boasts a wall of Sub Zero wine cooler, refrigerator, and freezer appliances.  This apartment has undergone a complete transformation, stripped down to bare walls and rebuilt using only the healthiest materials, ensuring a safe and SEE MORE:","5004","","0.00","","MERIDIAN OF PALM BEACH CONDO","","33480","3.00","Palm Beach","","","M","","No","MERIDIAN OF PALM BEACH COND UNIT N-305 BLDG NORTH","","FL","3300","2024","25447.00","3","5.00","","","4250000.00","3.00","305n","CD","26.601686","-80.038248","2100.00","Yes","Yes","A","2025-01-14","","Yes","","","Yes","","","Yes","","Yes","","","","","","","","","","N","","Helene Sidel","Brown Harris Stevens of PB (273005225)","","",""
"FX-10524217","86","86","44 Cocoanut Row 507A","1","1","","2025-09-15","1599000.00","","","50434322180005070","","","1200.00","","","","1956","","","Yes","","","","WELCOME HOME! Light, bright, and airy one-bedroom condo with one full and one half bath. Spacious layout with tons of closets and extra utility room storage. Condo has been updated with neutral colors and ready for your personal touches. Home also features a BONUS room with a closet ideal as a craft room, game room, or office, with space for a Murphy bed for added convenience. The primary bedroom offers wall-to-wall windows, abundant natural light, and enough space for two large beds or room for a spectacular vanity or dressing area. The kitchen opens to the dining area while keeping the work station tucked away from the living space. Palm Beach Towers delivers true resort-style living with exceptional concierge service. This is the one that checks all the boxes come see it today!","5002","","","","PALM BEACH TOWERS","","33480","1.10","Palm Beach","","","M","","","PALM BEACH TOWERS COND UNIT A507","","FL","44","2024","24249.00","2","6.00","","","1599000.00","5.00","507A","CD","26.715423","-80.043055","1674.00","","Yes","A","2025-09-16","","Yes","","","Yes","","","Yes","","Yes","Yes","","","","","","","","","","BUILDING A","Lisa Feltrinelli","LoKation (802518)","","",""
"RX-11119556","104","104","3140 S Ocean 304 S Boulevard 304 S","2","0","","2025-08-28","2500000.00","E","","50434426050023040","","","2173.00","2173.00","","","1982","","","Yes","","Complete","","If you are looking for a Spectacular Oceanview and large terrace, this is it! 2BR/2BA, large closets and Oceanviews from the entire condo! Primary Suite, breakfast nook, living room and a 2BR + Den. This luxury building sports newly designed pool, beach access, fitness center, tennis and pickleball courts. 24/7 gated security. New hurricance windows and sliders. Don't miss this one.","5004","","0.00","","CARLTON PLACE CONDO","","33480","2.00","Palm Beach","","","M","","No","CARLTON PLACE COND BLDG SOUTH UNIT 304","","FL","3140","2024","8895.05","2","1.00","","","2500000.00","2.00","304 S","CD","26.606641","-80.03828","2334.25","Yes","Yes","A","2025-08-29","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes","Yes","","","","","","","","","Y","","Marshall Moss","Leibowitz Realty Group, LLC./PBG (404730)","","",""
